Airline,Source,Destination,Dep_Time,Arr_Time,No_of_stops,Duration,Price,Date
Air Asia,New Delhi,Mumbai,19:00,"00:35
+ 1 day",1 Stop,5h 35m,"2,409",15-03-2022
Air Asia,New Delhi,Mumbai,08:20,14:10,1 Stop,5h 50m,"2,409",15-03-2022
Air Asia,New Delhi,Mumbai,20:00,"02:25
+ 1 day",1 Stop,6h 25m,"2,409",15-03-2022
Air Asia,New Delhi,Mumbai,20:45,"07:15
+ 1 day",1 Stop,10h 30m,"2,409",15-03-2022
Air Asia,New Delhi,Mumbai,09:35,20:35,1 Stop,11h 00m,"2,409",15-03-2022
Air Asia,New Delhi,Mumbai,20:00,"07:40
+ 1 day",1 Stop,11h 40m,"2,409",15-03-2022
Air Asia,New Delhi,Mumbai,19:00,"07:15
+ 1 day",1 Stop,12h 15m,"2,409",15-03-2022
Air Asia,New Delhi,Mumbai,08:00,20:35,1 Stop,12h 35m,"2,409",15-03-2022
IndiGo,New Delhi,Mumbai,02:00,04:10,Non Stop,2h 10m,"2,410",15-03-2022
Air Asia,New Delhi,Mumbai,04:25,06:35,Non Stop,2h 10m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,07:00,09:10,Non Stop,2h 10m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,08:00,10:10,Non Stop,2h 10m,"2,410",15-03-2022
IndiGo,New Delhi,Mumbai,08:10,10:20,Non Stop,2h 10m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,22:30,"00:40
+ 1 day",Non Stop,2h 10m,"2,410",15-03-2022
IndiGo,New Delhi,Mumbai,23:35,"01:45
+ 1 day",Non Stop,2h 10m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,02:00,04:15,Non Stop,2h 15m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,14:20,16:35,Non Stop,2h 15m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,15:00,17:15,Non Stop,2h 15m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,19:40,21:55,Non Stop,2h 15m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,21:00,23:15,Non Stop,2h 15m,"2,410",15-03-2022
IndiGo,New Delhi,Mumbai,08:45,11:05,Non Stop,2h 20m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,10:30,12:50,Non Stop,2h 20m,"2,410",15-03-2022
IndiGo,New Delhi,Mumbai,10:45,13:05,Non Stop,2h 20m,"2,410",15-03-2022
Go First,New Delhi,Mumbai,18:50,21:10,Non Stop,2h 20m,"2,410",15-03-2022
IndiGo,New Delhi,Mumbai,04:45,07:10,Non Stop,2h 25m,"2,410",15-03-2022
Air Asia,New Delhi,Mumbai,18:35,21:05,Non Stop,2h 30m,"2,410",15-03-2022
IndiGo,New Delhi,Mumbai,10:30,14:35,1 Stop,4h 05m,"2,463",15-03-2022
IndiGo,New Delhi,Mumbai,10:30,18:50,1 Stop,8h 20m,"2,463",15-03-2022
Air India,New Delhi,Mumbai,18:00,20:00,Non Stop,2h 00m,"2,476",15-03-2022
Air India,New Delhi,Mumbai,07:00,09:05,Non Stop,2h 05m,"2,476",15-03-2022
Vistara,New Delhi,Mumbai,05:45,07:55,Non Stop,2h 10m,"2,476",15-03-2022
Air India,New Delhi,Mumbai,08:00,10:10,Non Stop,2h 10m,"2,476",15-03-2022
Air India,New Delhi,Mumbai,20:00,22:10,Non Stop,2h 10m,"2,476",15-03-2022
Vistara,New Delhi,Mumbai,20:40,22:50,Non Stop,2h 10m,"2,476",15-03-2022
Vistara,New Delhi,Mumbai,21:40,23:50,Non Stop,2h 10m,"2,476",15-03-2022
Air India,New Delhi,Mumbai,09:00,11:15,Non Stop,2h 15m,"2,476",15-03-2022
Air India,New Delhi,Mumbai,19:00,21:15,Non Stop,2h 15m,"2,476",15-03-2022
Air India,New Delhi,Mumbai,14:30,18:00,1 Stop,3h 30m,"2,476",15-03-2022
SpiceJet,New Delhi,Mumbai,18:55,21:05,Non Stop,2h 10m,"2,621",15-03-2022
SpiceJet,New Delhi,Mumbai,07:20,09:35,Non Stop,2h 15m,"2,621",15-03-2022
SpiceJet,New Delhi,Mumbai,06:20,08:40,Non Stop,2h 20m,"2,621",15-03-2022
SpiceJet,New Delhi,Mumbai,19:45,22:05,Non Stop,2h 20m,"2,621",15-03-2022
Vistara,New Delhi,Mumbai,09:30,11:35,Non Stop,2h 05m,"2,700",15-03-2022
Vistara,New Delhi,Mumbai,12:50,15:00,Non Stop,2h 10m,"2,700",15-03-2022
